EventType;Timestamp;KeyCode;KeySymbol;DummyMouseX;DummyMouseY;SessionTag
KeyDown;1789235372754;16;Shift;419;405;SESS_1
KeyDown;1789235372790;66;B;515;413;SESS_1
KeyUp;1789235372877;66;B;418;302;SESS_1
KeyUp;1789235372930;16;Shift;554;312;SESS_1
KeyDown;1789235373054;65;A;362;464;SESS_1
KeyUp;1789235373139;65;A;513;228;SESS_1
KeyDown;1789235373148;68;D;469;462;SESS_1
KeyUp;1789235373239;68;D;577;397;SESS_1
KeyDown;1789235373249;65;A;485;437;SESS_1
KeyUp;1789235373331;65;A;347;232;SESS_1
KeyDown;1789235373453;78;N;459;369;SESS_1
KeyUp;1789235373517;78;N;408;254;SESS_1
KeyDown;1789235373621;73;I;316;371;SESS_1
KeyUp;1789235373709;73;I;574;210;SESS_1
KeyDown;1789235373816;65;A;469;411;SESS_1
KeyDown;1789235373906;32;Space;566;414;SESS_1
KeyUp;1789235373934;65;A;365;201;SESS_1
KeyUp;1789235373981;32;Space;568;452;SESS_1
KeyDown;1789235374034;16;Shift;586;452;SESS_1
KeyDown;1789235374096;68;D;547;415;SESS_1
KeyUp;1789235374172;68;D;593;371;SESS_1
KeyUp;1789235374219;16;Shift;459;315;SESS_1
KeyDown;1789235374357;89;Y;365;315;SESS_1
KeyUp;1789235374462;89;Y;307;414;SESS_1
KeyDown;1789235374518;78;N;493;425;SESS_1
KeyDown;1789235374606;65;A;464;317;SESS_1
KeyUp;1789235374634;78;N;501;394;SESS_1
KeyUp;1789235374684;65;A;368;444;SESS_1
KeyDown;1789235374764;77;M;403;459;SESS_1
KeyUp;1789235374875;77;M;317;259;SESS_1
KeyDown;1789235374981;73;I;435;227;SESS_1
KeyUp;1789235375072;73;I;503;342;SESS_1
KeyDown;1789235375172;75;K;504;326;SESS_1
KeyUp;1789235375240;75;K;563;213;SESS_1
KeyDown;1789235375369;73;I;427;264;SESS_1
KeyUp;1789235375471;73;I;511;338;SESS_1
KeyDown;1789235375497;32;Space;494;342;SESS_1
KeyUp;1789235375558;32;Space;516;406;SESS_1
KeyDown;1789235375687;16;Shift;592;363;SESS_1
KeyDown;1789235375755;80;P;535;441;SESS_1
KeyUp;1789235375868;80;P;522;439;SESS_1
KeyUp;1789235375916;16;Shift;423;499;SESS_1
KeyDown;1789235376005;73;I;466;470;SESS_1
KeyDown;1789235376107;83;S;399;458;SESS_1
KeyUp;1789235376133;73;I;331;263;SESS_1
KeyUp;1789235376232;83;S;507;370;SESS_1
KeyDown;1789235376278;65;A;311;236;SESS_1
KeyUp;1789235376339;65;A;320;270;SESS_1
KeyDown;1789235376413;78;N;436;378;SESS_1
KeyDown;1789235376517;73;I;317;206;SESS_1
KeyUp;1789235376535;78;N;537;409;SESS_1
KeyUp;1789235376579;73;I;352;213;SESS_1
KeyDown;1789235376620;65;A;332;294;SESS_1
KeyUp;1789235376726;65;A;391;337;SESS_1
KeyDown;1789235376735;32;Space;398;299;SESS_1
KeyUp;1789235376822;32;Space;520;409;SESS_1
KeyDown;1789235376915;16;Shift;477;451;SESS_1
KeyDown;1789235376972;78;N;473;432;SESS_1
KeyUp;1789235377083;78;N;450;486;SESS_1
KeyUp;1789235377141;16;Shift;523;496;SESS_1
KeyDown;1789235377306;65;A;483;215;SESS_1
KeyUp;1789235377384;65;A;593;441;SESS_1
KeyDown;1789235377464;32;Space;352;479;SESS_1
KeyUp;1789235377560;32;Space;534;214;SESS_1
KeyDown;1789235377678;16;Shift;461;301;SESS_1
KeyDown;1789235377722;75;K;483;362;SESS_1
KeyUp;1789235377818;75;K;400;363;SESS_1
KeyUp;1789235377842;16;Shift;587;349;SESS_1
KeyDown;1789235378011;76;L;387;446;SESS_1
KeyUp;1789235378099;76;L;405;377;SESS_1
KeyDown;1789235378103;65;A;393;491;SESS_1
KeyUp;1789235378179;65;A;483;491;SESS_1
KeyDown;1789235378319;87;W;301;445;SESS_1
KeyUp;1789235378400;87;W;580;214;SESS_1
KeyDown;1789235378485;73;I;431;402;SESS_1
KeyUp;1789235378605;73;I;314;471;SESS_1
KeyDown;1789235378651;65;A;400;360;SESS_1
KeyUp;1789235378773;65;A;357;444;SESS_1
KeyDown;1789235378849;84;T;562;494;SESS_1
KeyUp;1789235378955;84;T;548;441;SESS_1
KeyDown;1789235379057;85;U;320;266;SESS_1
KeyUp;1789235379133;85;U;582;228;SESS_1
KeyDown;1789235379268;82;R;528;437;SESS_1
KeyUp;1789235379343;82;R;579;403;SESS_1
KeyDown;1789235379422;90;Z;526;267;SESS_1
KeyUp;1789235379499;90;Z;508;474;SESS_1
KeyDown;1789235379634;69;E;473;249;SESS_1
KeyUp;1789235379719;69;E;524;472;SESS_1
KeyDown;1789235379752;32;Space;537;250;SESS_1
KeyUp;1789235379864;32;Space;316;250;SESS_1
KeyDown;1789235379867;16;Shift;552;327;SESS_1
KeyDown;1789235379922;75;K;526;376;SESS_1
KeyUp;1789235380007;75;K;536;343;SESS_1
KeyUp;1789235380053;16;Shift;412;386;SESS_1
KeyDown;1789235380178;16;Shift;406;403;SESS_1
KeyDown;1789235380218;68;D;402;470;SESS_1
KeyUp;1789235380281;68;D;512;410;SESS_1
KeyUp;1789235380303;16;Shift;432;464;SESS_1
KeyDown;1789235380451;16;Shift;595;304;SESS_1
KeyDown;1789235380489;65;A;581;457;SESS_1
KeyUp;1789235380603;65;A;448;487;SESS_1
KeyUp;1789235380627;16;Shift;454;355;SESS_1
KeyDown;1789235380722;32;Space;374;236;SESS_1
KeyUp;1789235380825;32;Space;417;317;SESS_1
KeyDown;1789235380938;50;2;481;272;SESS_1
KeyUp;1789235381007;50;2;495;200;SESS_1
KeyDown;1789235381104;48;0;475;376;SESS_1
KeyUp;1789235381187;48;0;432;331;SESS_1
KeyDown;1789235381223;50;2;599;494;SESS_1
KeyUp;1789235381351;50;2;355;413;SESS_1
KeyDown;1789235381355;54;6;411;356;SESS_1
KeyUp;1789235381435;54;6;446;204;SESS_1
KeyDown;1789235383967;16;Shift;560;356;SESS_2
KeyDown;1789235383997;66;B;561;340;SESS_2
KeyUp;1789235384096;66;B;509;415;SESS_2
KeyUp;1789235384123;16;Shift;469;316;SESS_2
KeyDown;1789235384284;65;A;564;293;SESS_2
KeyUp;1789235384373;65;A;496;323;SESS_2
KeyDown;1789235384467;68;D;588;250;SESS_2
KeyUp;1789235384538;68;D;336;384;SESS_2
KeyDown;1789235384656;65;A;440;272;SESS_2
KeyUp;1789235384722;65;A;372;311;SESS_2
KeyDown;1789235384845;78;N;348;397;SESS_2
KeyUp;1789235384925;78;N;434;488;SESS_2
KeyDown;1789235384982;73;I;505;210;SESS_2
KeyUp;1789235385083;73;I;327;385;SESS_2
KeyDown;1789235385168;65;A;467;325;SESS_2
KeyUp;1789235385230;65;A;368;433;SESS_2
KeyDown;1789235385355;32;Space;524;316;SESS_2
KeyUp;1789235385445;32;Space;514;452;SESS_2
KeyDown;1789235385574;16;Shift;470;453;SESS_2
KeyDown;1789235385610;68;D;524;357;SESS_2
KeyUp;1789235385674;68;D;547;352;SESS_2
KeyUp;1789235385701;16;Shift;460;422;SESS_2
KeyDown;1789235385821;89;Y;557;219;SESS_2
KeyUp;1789235385900;89;Y;596;499;SESS_2
KeyDown;1789235386028;78;N;417;374;SESS_2
KeyUp;1789235386130;78;N;352;350;SESS_2
KeyDown;1789235386174;65;A;346;218;SESS_2
KeyUp;1789235386260;65;A;392;286;SESS_2
KeyDown;1789235386288;77;M;396;458;SESS_2
KeyDown;1789235386388;73;I;581;253;SESS_2
KeyUp;1789235386410;77;M;305;367;SESS_2
KeyUp;1789235386462;73;I;508;248;SESS_2
KeyDown;1789235386602;75;K;511;386;SESS_2
KeyUp;1789235386706;75;K;376;493;SESS_2
KeyDown;1789235386771;73;I;374;234;SESS_2
KeyUp;1789235386854;73;I;446;405;SESS_2
KeyDown;1789235386918;32;Space;382;388;SESS_2
KeyUp;1789235387019;32;Space;506;350;SESS_2
KeyDown;1789235387091;20;CapsLock;350;250;SESS_2
KeyUp;1789235387159;20;CapsLock;351;251;SESS_2
KeyDown;1789235387219;80;P;360;260;SESS_2
KeyUp;1789235387311;80;P;361;261;SESS_2
KeyDown;1789235387448;20;CapsLock;350;250;SESS_2
KeyUp;1789235387525;20;CapsLock;351;251;SESS_2
KeyDown;1789235387660;73;I;562;302;SESS_2
KeyUp;1789235387749;73;I;500;325;SESS_2
KeyDown;1789235387824;83;S;308;423;SESS_2
KeyUp;1789235387949;83;S;493;400;SESS_2
KeyDown;1789235387965;65;A;403;443;SESS_2
KeyUp;1789235388093;65;A;431;391;SESS_2
KeyDown;1789235388146;78;N;531;217;SESS_2
KeyUp;1789235388211;78;N;348;288;SESS_2
KeyDown;1789235388356;73;I;485;443;SESS_2
KeyUp;1789235388431;73;I;444;419;SESS_2
KeyDown;1789235388501;65;A;543;486;SESS_2
KeyUp;1789235388611;65;A;373;319;SESS_2
KeyDown;1789235388663;32;Space;504;402;SESS_2
KeyUp;1789235388728;32;Space;464;445;SESS_2
KeyDown;1789235388814;16;Shift;558;315;SESS_2
KeyDown;1789235388855;78;N;567;446;SESS_2
KeyUp;1789235388940;78;N;440;336;SESS_2
KeyUp;1789235388977;16;Shift;506;337;SESS_2
KeyDown;1789235389066;65;A;396;445;SESS_2
KeyUp;1789235389194;65;A;411;462;SESS_2
KeyDown;1789235389271;32;Space;495;201;SESS_2
KeyUp;1789235389380;32;Space;366;432;SESS_2
KeyDown;1789235389380;16;Shift;557;318;SESS_2
KeyDown;1789235389440;75;K;481;449;SESS_2
KeyUp;1789235389559;75;K;407;397;SESS_2
KeyUp;1789235389597;16;Shift;414;359;SESS_2
KeyDown;1789235389691;76;L;486;365;SESS_2
KeyUp;1789235389764;76;L;576;387;SESS_2
KeyDown;1789235389864;65;A;329;393;SESS_2
KeyUp;1789235389929;65;A;425;356;SESS_2
KeyDown;1789235390041;87;W;452;321;SESS_2
KeyUp;1789235390106;87;W;532;421;SESS_2
KeyDown;1789235390176;73;I;356;345;SESS_2
KeyUp;1789235390265;73;I;467;203;SESS_2
KeyDown;1789235390290;65;A;324;475;SESS_2
KeyUp;1789235390380;65;A;326;451;SESS_2
KeyDown;1789235390480;84;T;393;347;SESS_2
KeyUp;1789235390555;84;T;562;419;SESS_2
KeyDown;1789235390571;85;U;311;289;SESS_2
KeyUp;1789235390641;85;U;422;380;SESS_2
KeyDown;1789235390668;82;R;496;237;SESS_2
KeyUp;1789235390732;82;R;435;361;SESS_2
KeyDown;1789235390863;90;Z;324;463;SESS_2
KeyUp;1789235390976;90;Z;502;319;SESS_2
KeyDown;1789235391021;69;E;393;492;SESS_2
KeyUp;1789235391150;69;E;436;357;SESS_2
KeyDown;1789235391174;32;Space;499;299;SESS_2
KeyUp;1789235391245;32;Space;452;395;SESS_2
KeyDown;1789235391367;16;Shift;544;376;SESS_2
KeyDown;1789235391415;75;K;534;438;SESS_2
KeyUp;1789235391531;75;K;421;335;SESS_2
KeyUp;1789235391577;16;Shift;493;364;SESS_2
