EventType;Timestamp;KeyCode;KeySymbol;DummyMouseX;DummyMouseY;SessionTag
KeyDown;1789235556787;20;CapsLock;350;250;SESS_1
KeyUp;1789235556880;20;CapsLock;351;251;SESS_1
KeyDown;1789235556977;66;B;360;260;SESS_1
KeyUp;1789235557106;66;B;361;261;SESS_1
KeyDown;1789235557170;20;CapsLock;350;250;SESS_1
KeyUp;1789235557230;20;CapsLock;351;251;SESS_1
KeyDown;1789235557395;65;A;336;515;SESS_1
KeyUp;1789235557519;65;A;519;256;SESS_1
KeyDown;1789235557558;68;D;568;343;SESS_1
KeyDown;1789235557658;65;A;424;443;SESS_1
KeyUp;1789235557691;68;D;492;469;SESS_1
KeyUp;1789235557760;65;A;435;328;SESS_1
KeyDown;1789235557860;78;N;510;244;SESS_1
KeyDown;1789235557952;73;I;429;424;SESS_1
KeyUp;1789235558007;78;N;457;237;SESS_1
KeyUp;1789235558047;73;I;408;547;SESS_1
KeyDown;1789235558084;65;A;339;385;SESS_1
KeyDown;1789235558187;32;Space;303;404;SESS_1
KeyUp;1789235558222;65;A;590;507;SESS_1
KeyUp;1789235558319;32;Space;373;381;SESS_1
KeyDown;1789235558414;16;Shift;408;358;SESS_1
KeyDown;1789235558475;68;D;588;399;SESS_1
KeyUp;1789235558553;68;D;504;453;SESS_1
KeyUp;1789235558579;16;Shift;481;410;SESS_1
KeyDown;1789235558684;89;Y;355;419;SESS_1
KeyUp;1789235558761;89;Y;433;264;SESS_1
KeyDown;1789235558846;78;N;438;414;SESS_1
KeyUp;1789235558947;78;N;317;518;SESS_1
KeyDown;1789235559026;65;A;539;356;SESS_1
KeyUp;1789235559124;65;A;529;429;SESS_1
KeyDown;1789235559187;77;M;350;556;SESS_1
KeyUp;1789235559254;77;M;310;476;SESS_1
KeyDown;1789235559312;73;I;326;323;SESS_1
KeyUp;1789235559404;73;I;572;535;SESS_1
KeyDown;1789235559516;75;K;412;237;SESS_1
KeyUp;1789235559587;75;K;433;205;SESS_1
KeyDown;1789235559624;73;I;540;216;SESS_1
KeyUp;1789235559768;73;I;515;445;SESS_1
KeyDown;1789235559849;32;Space;496;392;SESS_1
KeyDown;1789235559943;16;Shift;581;347;SESS_1
KeyUp;1789235559969;32;Space;337;363;SESS_1
KeyDown;1789235559992;80;P;404;515;SESS_1
KeyUp;1789235560122;80;P;409;423;SESS_1
